QUEST_LV_0200_20150317_000001	Philipas' Soldier	Philip's Soldiers
QUEST_LV_0200_20150317_000090	I feel so lonely since no one is here.{nl}It's been a long time since I met new faces.	Aku merasa sangat kesepian semenjak tidak ada siapapun disini. {nl} Sudah sangat lama bagiku untuk melihat wajah-wajah baru disini.
QUEST_LV_0200_20150317_000091	What do you want to do here in this empty forest? No way, the way is available?	Apa yang sedang kamu lakukan di hutan ini? Tidak mungkin, Apakah terdapat jalan disana?
QUEST_LV_0200_20150317_000092	Thank you.{nl}The soldiers and my colleagues will now be able to sleep comfortably.	Terima kasih. {nl} Prajurit dan rekan-rekan, sekarang aku bisa tidur dengan nyaman.
QUEST_LV_0200_20150317_000093	I can not feel my arms and legs.{nl}I feel so strange even though It's not cold.	Aku tidak bisa merasakan tangan dan kaki. {nl} Aku merasa sangat aneh meskipun tidak merasakan dingin.
QUEST_LV_0200_20150317_000094	We must defeat Gaigalas.{nl}Otherwise, I won't be able to sleep in peace.	Kita harus mengalahkan Gaigalas. {nl} Jika tidak, Aku tidak bisa tidur dengan nyaman.
QUEST_LV_0200_20150317_000095	We will start the hunt for Gaigalas soon.{nl}I'm so excited.	Kita akan segera memulai perburuan Gaigalas. {nl} Aku sangat bersemangat.
QUEST_LV_0200_20150317_000096	This grudge is so sad.{nl}It's sad that we are powerless to stop it either.	Dendam ini sangat menyedihkan. {nl} Hal yang menyedihkan adalah kita tidak berdaya untuk menghentikan semuanya.
QUEST_LV_0200_20150317_000097	Losses will continue unless somebody stops the demons.	Kesengsaraan akan terus berlanjut kecuali seseorang berhasil menghentikan para Demon.
QUEST_LV_0200_20150317_000098	Joint Investigation Unit Member Frey	Joint Investigation Team Fray
QUEST_LV_0200_20150317_000099	I'm Frey.{nl}Listening to the story, the situation sounds bad.{nl}If the information you and Scott researched is correct.	Aku Fray {nl} Mendengarkan cerita yang disampaikan, Situasinya terdengar buruk. {nl} Sepertinya informasi yang telah Kamu dan Scott teliti adalah benar.
QUEST_LV_0200_20150317_000100	{nl}Then, I will have to do something.{nl}Please defeat some Red Vubbes first. They have been bothering me lately.	{nl} Maka, Aku harus melakukan sesuatu. {nl} Kalahkan beberapa Vubbe Red terlebih dahulu. Mereka telah mengusik pikiranku akhir-akhir ini.
QUEST_LV_0200_20150317_000101	Please, I ask of you...{nl}I get sick just looking at the red color.	Tolong, Aku mohon kepada Kamu. . {nl} Aku mulai kesal hanya melihat warna merah ini.
QUEST_LV_0200_20150317_000102	Oh, did you really defeat them for me?{nl}Thank you!	Oh, apakah Kamu benar-benar mengalahkan mereka untukku? {nl} Terima kasih!
QUEST_LV_0200_20150317_000103	I got something after talking with Scott.{nl}Something like a moving Woodsman piece of tree sculpture.{nl}Is it somehow related with the bark of a tree that the Vubbes got?	Aku mendapatkan sesuatu setelah berbicara dengan Scott. {nl} Beberapa Woodman sedang memindahkan Tree Sculpture. {nl} Apakah ini berkaitan dengan Sebuah Bark of Tree yang dimiliki oleh Vubbe?
QUEST_LV_0200_20150317_000104	By the way, there is still no news from Scott about a second report.{nl}I wonder what happened to him? Hmm...	Sepertinya, belum ada kabar dari Scott tentang laporan keduanya. {nl} Aku ingin menghetahui apa yang sebenarnya terjadi pada Scoot? Hmm..
QUEST_LV_0200_20150317_000105	Wow, great!{nl}I owe you one. Thank you!	Wow, hebat! {nl} Aku berutang budi padamu. Terima kasih!
QUEST_LV_0200_20150317_000106	Right? So I will ask you.{nl}Woodsmen are appearing on the Deer Hoot Site along with the left side of the path.	Benar? Jadi Aku akan meminta Kamu. {nl} Woodman muncul di Deer Hoot Site disepanjang sisi kiri jalan.
QUEST_LV_0200_20150317_000107	I will take this combined result of the information Scott gave me and this fragment to my superior. {nl}By the way, There is still no news from Scott. Even the time Scott promised has long since passed. Just using the hearsay is not enough for the other investigator?{nl}	Aku akan membawa hasil pengabungan Material Scott dan Fragment ini kepada pemimpinku. {nl} Sepertinya, hingga saat ini belum ada kabar apapun dari Scott. Meskipun sudah lama Scott menjanjikannya. Hanya mengandalkan kabar angin saja tidaklah cukup untuk melakukan penyelidikan lainnya?{nl}
QUEST_LV_0200_20150317_000108	Could you pick up the report from Scott?{nl}Do not forget to scold him for skipping work!	Bisakah Kamu mengambil laporan dari Scott? {nl} Jangan lupa untuk menegurnya karena mengabaikan pekerjaan!
QUEST_LV_0200_20150317_000109	Please handle Scott's report. Okay?{nl}Sometimes, he is stupid, but he is also cute.	Tolong tangani laporan Scott. Oke? {nl} Terkadang, dia bodoh, tapi dia juga imut.
QUEST_LV_0200_20150317_000110	I have no face. Nowadays, I have been investigating everywhere to find something..{nl}Thanks a lot. If you are not..{nl}Ah, I don't want to think about it.{nl}	Aku jarang terlihat. Akhir-akhir ini, Aku sedang menyelidiki berbagai tempat untuk menemukan sesuatu.. {nl} Terima kasih banyak. Jika Kamu tidak .. {nl} Ah, Aku tidak ingin memikirkannya. {nl}
QUEST_LV_0200_20150317_000111	Oops, there's no time for this.{nl}I'm sorry, Please give it to Frey instead of me.{nl}I don't know where to start to clean the mess that Vubbes did..	Ah, sudah waktunya. {nl} Maafkan aku, Tolong berikan ini kepada Fray. {nl} Aku tidak tahu harus mulai darimana untuk menyelesaikan kekacauan yang Vubbe lakukan..
QUEST_LV_0200_20150317_000112	Ah, it is the report! {nl}Good, and what was Scott doing?{nl}	Ah, ini laporannya! {nl} Bagus, dan apa yang sedang Scott lakukan? {nl}
QUEST_LV_0200_20150317_000113	Really? He couldn't handle a single Vubbe and got in trouble instead.{nl}Such a shame..I will scold him later!	Benarkah? Dia tidak bisa menangani Vubbe satupun dan mendapatkan masalah. {nl} Ini sungguh memalukan.. Aku akan memarahinya nanti!
QUEST_LV_0200_20150317_000114	Everything is messy. {nl}I can not concentrate as the Vubbes.{nl}He must laugh, If he look at it?	Semuanya berantakan. {nl} Aku tidak bisa berkonsentrasi karena Vubbe. {nl} Dia pasti tertawa, jika dia melihatnya?
QUEST_LV_0200_20150317_000115	Joint Investigation Unit Member Frey	Joint Investigation Team Fray
QUEST_LV_0200_20150317_000116	It is still in progress to find the truth of the events.{nl}Take it. It's a soul collection scroll.{nl}	Peristiwa tersebut masih dalam proses pemeriksaan.{nl}Ambillah. Ini adalah Soul Collection Scroll.{nl}
QUEST_LV_0200_20150317_000117	Once you defeat the Red Vubbe using this scroll, the soul of Vubbe should be out?{nl}I'll have you collect it for me. Then, the data are almost done.	Setelah Kamu mengalahkan Red Vubbe dengan menggunakan scroll ini, maka jiwa mereka akan keluar, bukan? {nl} Aku memintamu untuk mengumpulkan semuanya. Dengan begitu, data hampir selesai dikumpulkan.
QUEST_LV_0200_20150317_000118	Do not forget the order.{nl}You have to defeat the Red Vubbes after using the soul collection scroll on them. Alright?	Jangan lupa perintahnya. {nl} Kamu harus mengalahkan Red Vubbe setelah menggunakan Soul Collection Scroll kepada mereka. Apakah kamu mengerti?
QUEST_LV_0200_20150317_000119	About the bark of a tree that the Vubbe got.{nl}I think I can combine it using something like a spirit..{nl}Well, Please tell this news to Ukirt.	Mengenai Bark Tree yang Vubbe miliki.{nl} Aku pikir dapat digabungkan dengan menggunakan kekuatan Spirit..{nl} Baiklah, Sampaikan berita ini kepada Ukirt.
QUEST_LV_0200_20150317_000120	Joint Investigation Unit Member Ukirt	Joint Investigation Team Ukirt
QUEST_LV_0200_20150317_000121	Scott and Frey did a good job. What do you think of it?{nl}I don't think so that Vubbe can't create themself.{nl}I will have to check what they do using this.{nl}	Scott dan Fray bekerja dengan baik. Bagaimana menurutmu?{nl}Kurasa Vubbe tidak bisa menciptakannya sendiri.{nl}Aku harus memeriksa apa yang mereka lakukan dengan ini.{nl}
QUEST_LV_0200_20150317_000122	There may be something inside the supply boxes that the soldiers left a long time ago.{nl}You will find some old supply boxes up there.{nl}Can you go there and check? If we obtain some clues there, we may get an answer.	Mungkin ada sesuatu di dalam Supply Box yang ditinggalkan oleh para prajurit dahulu kala. {nl} Kamu dapat menemukan Old Supply Box diatas sana. {nl} Dapatkah Kamu pergi kesana dan memeriksanya? Jika kita dapat menemukan beberapa petunjuk di sana, kita bisa mendapatkan jawabannya.
QUEST_LV_0200_20150317_000123	If you go back the way you just came, you will see an observatory tower on the hills.{nl}I hope the monsters haven't touch it yet..	Jika Kamu kembali ke arah yang telah kamu lalui sebelumnya, Kamu akan melihat sebuah Observatory Tower di area Perbukitan. {nl} Semoga Monster belum menguasai tempat tersebut..
QUEST_LV_0200_20150317_000124	Are they really planning something?{nl}Something.. is suspicious..	Apa mereka sedang merencanakan sesuatu?{nl}Sepertinya.. Mencurigakan..
QUEST_LV_0200_20150317_000125	The Vubbes broke the supply boxes and ran away with this?{nl}Why? Were they really making it?{nl}No way, they aren't smart enough to do that.{nl}	Para Vubbe merusak Supply Box dan lari membawanya? {nl} Mengapa? Apakah mereka yang telah melakukannya? {nl} Ini tidak mungkin, mereka tidak cukup pintar untuk melakukan hal itu. {nl}
QUEST_LV_0200_20150317_000126	Good! We should pay attention and solve the problem!	Bagus! Kita harus tetap fokus dan memecahkan masalahnya!
QUEST_LV_0200_20150317_000127	Okay. Are you ready?{nl}	Oke. Apa kamu siap?{nl}
QUEST_LV_0200_20150317_000128	Before you came, I saw Vubbes moving in groups.{nl}Go to Gebene Cliffs and see how the situation is.	Sebelum Kamu datang, Aku melihat sekelompok Vubbe. {nl} Pergilah ke Gebene Cliffs dan lihatlah situasi disekitarnya.
QUEST_LV_0200_20150317_000129	The Vubbes were always involved with anything that happened here.{nl}It can't be just a coincidence..	Vubbes selalu terlibat apapun yang terjadi di sini. {nl} Hal ini tidak mungkin terjadi secara kebetulan.
QUEST_LV_0200_20150317_000130	I think.. I understand now. {nl}I think that was like a big factory creating huge monsters called Woodspirits.{nl}	Aku rasa.. Aku mengerti sekarang. {nl} kupikir itu seperti sebuah pabrik besar untuk menciptakan monster besar yang disebut Woodspirits. {nl}
QUEST_LV_0200_20150317_000131	The flag of Vubbes must have called in the ghosts.{nl}Then they polluted the trees and created huge monsters.{nl}	Vubbe Flag pasti telah memanggil Ghost. {nl} Kemudian mereka mencemarkan pepohonan dan menciptakan Monster besar. {nl}
QUEST_LV_0200_20150317_000132	That tree barks must have been the ingredients for making Woodspirits.{nl}There's no way those Vubbes could do it alone.{nl}They must have received an order from somebody!	Bark Tree itu sebagai bahan-bahan untuk membuat Woodspirits. {nl} Tidak mungkin para Vubbe bisa melakukannya sendiri disana. {nl} Mereka pasti menerima perintah dari seseorang!
QUEST_LV_0200_20150317_000133	We may find some decisive evidence at the place where the Vubbes are grouped together.{nl}If Prey sees this, it will like it!	Kita mungkin dapat menemukan beberapa bukti yang berharga di tempat Vubbe yang berkumpul secara bersamaan. {nl} Jika Prey melihat ini, ia pasti akan menyukainya!
