QUEST_20150317_000001	Please select the user requiring a quest update.	Pilih user untuk memodifikasi quest.
QUEST_20150317_000023	Nevertheless, only we can save this world.	Namun, hanya kamu dan aku yang bisa menyelamatkan dunia. {nl}
QUEST_20150317_000024	I have passed the next revelation to the first Paladin. {nl}He will be waiting for you at the highest flower garden.	Aku telah memberikan wahyu berikutnya pada paladin pertama. {nl}Aku akan menunggumu di taman yang berada di bukit.
QUEST_20150317_000025	The dark aura is indeed unpleasant... {nl}But if this message is truly from the Goddess Laima, then I am simply in awe.	Akan datang pasukan iblis dan aku tidak bisa merasakannya.  {nl} Pasti, ini adalah wahyu asli dari Goddess Laima  .. Sungguh luar biasa.
QUEST_20150317_000026	Well, you should hurry and go find Sir Uska. {nl}He will tell you where to go next. {nl}May the goddess bless your fate...	Baiklah, cepat pergi temui Sir Uska. {nl}Dia akan memberitahu kemana kamu harus pergi. {nl}Semoga Goddess bless menyertai takdirmu..
QUEST_20150317_000027	Please select the preferred Smart Gen.	Silahkan pilih smart gen yang di inginkan.
QUEST_20150317_000028	William	William
QUEST_20150317_000029	The fee's 100 silver. {nl}It's cheaper than cutting through monster central.	Semua jadi 100 Silver. {nl}Ini sudah cukup murah dibandingkan harus menuju ke sekumpulan monster.
QUEST_20150317_000030	Cyneburg	Cyneburg
QUEST_20150317_000031	That'll be 100 silver coins. {nl}That'll cover operations, labor, and other expenses.	Totalnya jadi 100 Silver. {nl}Ini semua termasuk biaya operasi, usaha dan biaya lain-lain.
QUEST_20150317_000032	Hey, wait a minute. {nl}You know you need more than that...	Hey..tunggu dulu. {nl}Kamu butuh lebih dari itu..
QUEST_20150317_000033	That's no good! {nl}I can't work for nothing, even for a Revelator.	Ini tidak baik. {nl}Meskipun kamu seorang Savior, Aku tidak bisa bekerja untukmu.
QUEST_20150317_000034	Wandering Merchant	Wandering Merchant
QUEST_20150317_000035	Like a dandelion's seeds, I am merely one who follows the wind. {nl}Since we've met in such a curious way, perhaps you could spare a moment to view my curiosities?	Aku sangat miskin, wandering merchant. {nl}Baiklah, karena kita sudah bertemu, apakah kamu mau melihat barang daganganku?
QUEST_20150317_000036	Kristina	Christina
QUEST_20150317_000037	Welcome! {nl}You're looking for a travel companion, right? {nl}You won't find a better place for partners than here!	Selamat datang kawan.  {nl} Apakah kamu mencari teman untuk bertualang?  {nl} Tidak ada Companion yang lebih baik dari mereka.
QUEST_20150317_000038	You can make your companions watch you fight or train special attributes. {nl}Earn enough affection, and you can even buy some cool equipment!	Kamu dapat membuat companion membantu pertarunganmu atau melatihnya dengan special Attribute.  {nl} Jika hubungan kamu sudah sangat baik, kamu bisa membelikannya equipment yang keren.  {nl}
QUEST_20150317_000039	Raising your companion's affection will increase riding stamina and evasion! {nl}So what do you think? Is that enough to make you consider one?	Companion yang tumbuh dengan kasih sayang dari kamu akan memberi bonus stamina dan evasion pada masternya.  {nl} Bagaimana menurutmu? Bukankah Companion baik untukmu?
QUEST_20150317_000040	The box requires a matching key.	Kamu membutuhkan key untuk box.
QUEST_20150317_000041	Select Quest	Pilih Quest
QUEST_20150317_000042	Modify Quest Status	Modify Quest Status.
QUEST_20150317_000043	Force start?	Force Start?
QUEST_20150317_000044	Items to be deleted	Items yang akan di hapus.
QUEST_20150317_000045	Select GenType	Pilih tipe gen.
QUEST_20150317_000046	Select Coordinates	Pilih Koordinat
QUEST_20150317_000047	Knight Titas	Knight Titas
QUEST_20150317_000048	If so, go see Knight Commander Uska in Klaipeda. {nl}But first, I have an important errand I would like to run you by, so follow me.	Jika begitu, temui Knight Commander Uska di Klaipeda.  {nl} Tapi sebelum itu, aku ingin memberitahu sesuatu, ikuti aku.
QUEST_20150317_000049	It would be nice if I could find a moment to relax...	Semoga aku punya sedikit waktu untuk istirahat..
QUEST_20150317_000050	Sparnas... {nl}is not someone to take lightly...	Sparnas.. {nl}Sangat sulit ditebak..
QUEST_20150317_000051	Soldier Moody	Soldier Moody
QUEST_20150317_000052	Let's deal with this monster before talking.	Kita lanjutkan bicaranya setelah mengalahkan monster.
QUEST_20150317_000053	Joint Investigation Team - Scott	Bergabung dengan tim investigasi - Scott.
QUEST_20150317_000054	I long for a time when our team is no longer needed... {nl}What a peaceful age that would be...	Aku menunggu hari dimana tim kita tidak dibutuhkan lagi.. {nl}Ah, Maksudku adalah hari yang damai. Haha.. {nl}
QUEST_20150317_000055	I don't know where to start. {nl}Have you heard anything?	Aku tidak tahu harus berbuat apa. {nl}Apakah kamu sudah mendengar kabar?
QUEST_20150317_000056	By royal orders, we've come to this forest to investigate some strange events. {nl}Witnesses have reported something with a big face and bony fingers. {nl}What in the world could that be?	Kami dikirim oleh kerajaan untuk menginvestigasi kejadian aneh yang ada di hutan.  {nl} Para saksi bilang mereka melihat wajah raksasa dengan jari yang besar  {nl} Kira-kira apa itu?
QUEST_20150317_000057	In the past, pilgrims traveled through this forest. {nl}But now due to the presence of monsters, only soldiers gather here.	Dulu, para peziarah sering melewati hutan ini. {nl}Tetapi, sekarang, yang ada hanya monster.
QUEST_20150317_000058	Up until four years ago, the goddesses often blessed us with signs of their presence. {nl}But now, even our combined prayers don't bring so much as a tremor. {nl}Have they truly abandoned us?	4 tahun yang lalu, para Goddess sering menampakkan diri mereka dari waktu ke waktu.  {nl} Tapi sekarang, mereka tidak pernah muncul meskipun kita sering berdoa.  {nl} Apakah mereka mengabaikan kita?
QUEST_20150317_000059	Vacenin personally goes to each region to deal with things. {nl}He gets uncomfortable when he stays in the city.	Vecenin mengurus banyak tugas dengan pergi dari satu daerah ke daerah lainnya.  {nl} Dia bilang sangat tidak efektif jika hanya tinggal di satu kota.
QUEST_20150317_000060	Do you plan on staying or enlisting? {nl}If you're interested, I'll gladly recommend you to the head commanders.	Apakah kamu pernah berpikir untuk tinggal terus di sini atau menjadi prajurit?  {nl} Dengan senang hati aku akan merekomendasikanmu ke head commander.
QUEST_20150317_000061	Don't let your guard down. Monsters can appear any time, anywhere.	Tetap siaga. Kamu tidak akan tahu kapan dan dimana monster datang menyerang.
QUEST_20150317_000062	Where in the world did Goddess Zemyna go...	Aku membayangkan dimana Goddess Zemyna berada..
QUEST_20150317_000063	What in the world do you call this?	Sebenarnya ini apa ya?
QUEST_20150317_000064	I think Zemyna, the goddess of the earth would grieve more than anyone else.	Sepertinya The Goddess of Earth - Zemyna akan sangat sedih dibandingkan siapapun.
QUEST_20150317_000065	The Pokubu have always been here, but sometimes unfamiliar monsters are spotted as well.	Pokubu sudah berada di sini sejak lama.  {nl} Namun monster yang tidak jelas juga muncul di sekitarnya.
QUEST_20150317_000066	I've thought about it. There's no doubt that the goddesses have abandoned us all. {nl}If that weren't so, then there wouldn't be so many monsters.	Aku berpikir tentang itu. Para Goddess telah mengabaikan kita. {nl}Jika tidak, pasti tidak ada monster sebanyak itu.
QUEST_20150317_000067	They say there's a man blessed with the goddess' strength living in the forest.	Aku dengar ada orang yang tinggal di hutan dekat sini yang menerima kekuatan dari Goddess..
QUEST_20150317_000068	I want to go home.	Aku ingin kembali ke kampung halamanku.
QUEST_20150317_000069	The number of monsters here doesn't seem to change no matter how many of them we kill.	Jumlah dari monster sepertinya tidak berkurang walau sudah kita bunuh.
QUEST_20150317_000070	Did Julian send you off, Revelator?	Savior, Apakah Julian yang mengirimmu?
QUEST_20150317_000071	I'm amazed. {nl}You're the first person I've met here in several years.	Tidak mungkin. {nl}Kamu adalah orang pertama yang aku temui setelah beberapa tahun di hutan ini. {nl}
QUEST_20150317_000072	I'll show you what I saw.	Aku akan menunjukkan apa yang aku lihat.
QUEST_20150317_000073	Please, forget about me and just leave. {nl}The flowers seem to be coming along beautifully.	Pergilah dan jangan hiraukan diriku. {nl}Ah, bunga-bunga yang indah mulai muncul.
QUEST_20150317_000074	Lena	Lena
QUEST_20150317_000075	Please, tell me your life story. {nl}We follow the will of Vibora and record all that is in this world.	Ceritakan aku tentang pengalamanmu.  {nl} Seperti kata Vivora, kami mencatat semua yang terjadi didunia.
QUEST_20150317_000076	Henrika	Henryka
QUEST_20150317_000077	Hello! {nl}Welcome to the Klaipeda branch of the Magic Association. {nl}We specialize in studying the strange phenomena that occur when special items are combined.	Halo. Ini adalah Magical Association's cabang Klaipeda.  {nl} Kami mempelajari hal misterius yang terjadi ketika spesial item dikombinasikan.
QUEST_20150317_000078	There's nothing to see here but steam and Vubbes. {nl}Wait, what's that thing with the big face that's approaching?!	Hanya ada uap dan Vubbes di sini.  {nl} Sesosok wajah besar muncul.. Kira-kira apa ya?
QUEST_20150317_000079	The land needs our attention as well. {nl}The world still isn't ruined... right?	Aku harus menyadarkan diri. {nl} Dunia belum berakhir.. Bukan begitu?
QUEST_20150317_000080	If we continue to have courtesy, then we still know the way of a righteous life. {nl}We should all consider whether or not this mess is our fault because we relied on the goddesses for everything.	Saat kebaikan berlanjut, orang percaya akan mendapat kebaikan. {nl}Mungkin fakta yang ada jika kita terlalu bergantung kepada Goddess juga tidak baik bagi kita.
QUEST_20150317_000081	Bulletin Board	Bulletin Board
QUEST_20150317_000082	Welcome to the mining town of Klaipeda!	Selamat datang di kota Tambang Klaipeda!
QUEST_20150317_000083	Indifferent Widow	Indifferent Widow
QUEST_20150317_000084	I'm not sure I understand it completely, but what I'm sure of is that the goddesses didn't disappear all at once.	Aku tidak tahu alasannya  {nl} Tetapi satu hal yang pasti bahwa para Goddess tidak menghilang secara bersamaan.
QUEST_20150317_000085	The first to disappear was the Goddess Gabija. {nl}I heard it was a very long time ago. {nl}One by one, starting with Gabija, they stopped replying.	Goddess pertama yang menghilang adalah Goddess Gabija.  {nl} Aku mendengar hal itu sejak lama.  {nl} Lalu setelah itu, satu per satu Goddess lain mulai tidak merespon.  {nl}
QUEST_20150317_000086	Goddess Vakarine left us shortly before Medzio Diena. {nl}Both Zemyna and Ausrine disappeared soon after. {nl}It's already been four years since.	Goddess Vakarine telah menghilang sebelum Divine Day. {nl}Zemyna dan Ausrine adalah yang terakhir namun juga menghilang. {nl}Semua terjadi empat tahun lalu. {nl}
QUEST_20150317_000087	That's right. The strangest one of all was the Goddess Laima. {nl}No one's really sure when she disappeared.	Itu benar. Goddess Laima itu yang paling ganjil.  {nl} Tidak ada yang tahu kapan dia menghilang.  {nl}
QUEST_20150317_000088	Besides, isn't Laima the goddess of fate and foresight? {nl}She probably knew all about it.	Bukankah Goddess Laima adalah Goddess dari takdir dan kebijaksanaan?  {nl} Harusnya dia tahu semua yang akan terjadi ya kan?
QUEST_20150317_000089	Resting Soldier	Resting Soldier
QUEST_20150317_000090	I used to be an adventurer like you. Then I took an arrow in the knee...	Dulu aku juga seorang petualang seperti dirimu, namun setelah aku terkena panah itu.. {nl}
QUEST_20150317_000091	It doesn't matter. Come and face me, you monsters!	Itu tidak penting. Hadapi aku monster!
QUEST_20150317_000092	A goddess appeared in my dream just now... {nl}It was so enchanting...	Para Goddess ada di dalam mimpiku.. {nl}Itu sangat mempesona..
QUEST_20150317_000093	Still, I have a duty to defend the kingdom. That's why I'm here.	Aku mempunyai tugas untuk melindungi kerajaan ini. Itulah mengapa aku ada di sini.
QUEST_20150317_000094	Uska is an old friend of mine.	Uska adalah kawan lamaku.  {nl}
QUEST_20150317_000095	We did our tests to become knights together. Uska got to where he is now with my sincere support. {nl}Oh, those were some crazy days... It'd be nice to see him again.	Kami menjalani ujian menjadi knights bersama, dan Uska menjadi seperti sekarang karena bantuanku. {nl}Ha ha, Masa lalu yang menyenangkan..Aku merindukanmu Uska!
QUEST_20150317_000096	Just don't believe everything he says. {nl}He was known for being quite the show-off back home.	Jangan terlalu mempercayai perkataannya. {nl}Dia dikenal sebagai penipu ulung di desa kami.
QUEST_20150317_000097	Me? I find it funny, so I just leave him alone.	Aku? Aku hanya meninggalkanya karena itu menyenangkan.
QUEST_20150317_000098	Uh, wait. I take back what I said about not believing all he says.	Umm.. Aku tarik perkataanku untuk tidak mempercayainya. {nl}
QUEST_20150317_000099	Everything that flies out of his mouth is a lie. Don't trust him.	Semua yang dia katakan adalah bohong, jangan mempercayainya.
QUEST_20150317_000100	Siauliai Guard	Siauliai Guard
QUEST_20150317_000101	There are monsters beyond this point. Be careful.	Di luar batas ini terdapat banyak monster, berhati-hatilah.
QUEST_20150317_000102	These woods aren't exactly peaceful, but it's better than other places. {nl}There are forests that have nothing but souls roaming about.	Tempat ini tidak begitu damai tapi setidaknya lebih baik daripada daerah lain.  {nl} Di hutan lain, tidak ada orang, yang ada hanya spirit berterbangan.
QUEST_20150317_000103	This is what people who have seen a goddess in their dreams are being called.	Orang-orang sepertimu yang bermimpi tentang Goddess, kami menyebutnya Savior.  {nl}
QUEST_20150317_000104	I thought the Revelators' visions were madness at first. {nl}After all, the goddesses have been gone for a long time.	Pertama kali aku pikir para Savior itu gila.  {nl} Itu mulai terjadi semenjak para Goddess menghilang.  {nl}
QUEST_20150317_000105	Isn't it true that the goddesses haven't responded to any of our prayers since Medzio Diena four years ago?	Setelah semua itu, mereka tidak pernah menjawab kami sejak 4 tahun lalu.
QUEST_20150317_000106	You can find Class Masters all around the kingdom. {nl}Why don't you visit them and learn what you can?	Master dari tiap class berada diseluruh penjuru kerajaan.  {nl} Kenapa kamu tidak mencoba belajar dari mereka?
QUEST_20150317_000107	You don't know about Medzio Diena? You must have come from really far away. {nl}Four years ago, things went out of control at the capital.	Kamu tidak tahu Medzio Diena? Kamu pasti baru di area ini.  {nl} Itu adalah hari dimana divine monument di kota bagian tengah mulai kacau.  {nl}
QUEST_20150317_000108	It was a disaster... Many people were either injured or killed. {nl}Once gentle creatures turned fierce and many new monsters emerged.	Itu adalah bencana yang membuat penduduk terluka dan mati.  {nl} Bahkan monster yang baik menjadi jahat dan muncul monster lainnya.  {nl}
QUEST_20150317_000109	If you are still interested about what happened on Medzio Diena four years ago, try visiting Klaipeda. {nl}Many of its survivors took refuge there.	Pergilah ke Klaipeda jika kamu penasaran yang terjadi dengan Divine Tree 4 tahun lalu.  {nl} Banyak korban selamat pergi ke sana.
QUEST_20150317_000110	Eastern Woods Sentinel	Easter Woods Sentinel
QUEST_20150317_000111	Are you heading to the Eastern Woods? {nl}You mustn't! It's far too dangerous!	Apa kamu mencoba masuk ke Easter Woods? {nl}Jangan pernah ke sana. Terlalu berbahaya! {nl}
QUEST_20150317_000112	Damn, those stubborn things chased us this far!	Uh, Mereka sangat keras kepala..!!
QUEST_20150317_000113	Those screams... We're under attack!	Teriakan ini... Kita diserang!
QUEST_20150317_000114	Safety Instructions	Peraturan keamanan
QUEST_20150317_000115	1. Only authorized personnel may enter. {nl}2. Always follow the directions of the mining supervisor.	1. Hanya personil yang terdaftar yang bisa masuk.  {nl} 2. Hanya boleh melewati jalur yang di berikan Mine Director.  {nl}
QUEST_20150317_000116	3. Do not approach closed-off areas. {nl}4. Any suspicious individuals should be reported to the knights of Klaipeda.	3. Jangan memasuki daerah terlarang.  {nl} 4. Laporkan orang yang mencoba masuk ke Mine tanpa ijin ke Klaipeda Knight Templars.
QUEST_20150317_000117	Supply Base Soldier	Supply Base Soldier
QUEST_20150317_000118	I've never been in a real fight before so I'm a bit nervous.	Aku belum terbiasa dengan pertempuran nyata jadi aku agak sedikit gugup.
QUEST_20150317_000119	Farm Sentinel	Farm Sentinel
QUEST_20150317_000120	My colleague is in the middle of a battle at the Miners' Village. {nl}I've thought of going to help, but the Eastern Woods is in trouble as well, so all I can do is worry.	Temanku sedang bertempur di Miner's Village. {nl}Aku ingin membantunya, tapi East Forest juga sedang dalam masalah sehingga aku khawatir.
QUEST_20150317_000121	I think this mission has shown me enough monsters for a lifetime. {nl}It used to be just groups of Vubbes.	Aku pikir aku sudah melihat semua macam monster dalam hidupku.  {nl} Tapi ternyata itu hanya Vubbe.
QUEST_20150317_000122	Chupacabras are fond of the streams and lush vegetation of the northern area.	Chupacabra suka tinggal di dekat sungai dan daerah subur di arah utara.
QUEST_20150317_000123	Klaipeda Guard Captain	Klaipeda Guard Captain
QUEST_20150317_000124	You're the...	Kamu adalah..
QUEST_20150317_000125	It looks like you can see into the upper forest from here. {nl}Try not to get into trouble.	Aku dengar mereka terlihat di bagian dalam hutan atas.  {nl} Agar lebih aman, jangan mengusik mereka terlebih dahulu.
QUEST_20150317_000126	You don't have the required quest item. Are you sure you want to continue?	Kamu tidak memiliki item untuk melanjutkan quest. Apakah kamu ingin melanjutkan setelah membuat item?
QUEST_20150317_000127	Klaipeda Girl	Klaipeda Girl
QUEST_20150317_000128	My neighbor used to be a monster hunter. {nl}He's retired now though. It has gotten ferociously dangerous.	Pria itu adalah tetanggaku dan dulunya seorang monster hunter.  {nl} Tapi sekarang sudah berhenti karena monsternya semakin beringas dan berbahaya.
QUEST_20150317_000129	It would be nice if all these Revelators being here meant that the goddesses are back.	Aku harap kemunculan savior adalah pertanda dari kembalinya Goddess.
QUEST_20150317_000130	It might be silly to hope for the goddess' return, but it's better than nothing.	Hanya bergantung pada Goddess adalah hal yang bodoh,  {nl}namun lebih baik daripada tidak bergantung pada apapun.
QUEST_20150317_000131	Klaipeda Lady	Klaipeda Madam
QUEST_20150317_000132	We can still grow from the land, and have a warm hearth at our homes to rest at. {nl}I will always believe the goddesses are somewhere in the world.	Tanaman masih bisa tumbuh di tanah ini dan kita masih diberikan kehangatan di dalam rumah. {nl}Aku percaya bahwa Goddess masih ada di suatu tempat di dunia ini.
QUEST_20150317_000133	Keep faith. {nl}The goddesses may still send a Savior to us.	Tetaplah berdoa.  {nl} Agar Goddess mengirimkan seseorang untuk menyelamatkan kita.
QUEST_20150317_000134	Hoplite Master	Hoplite Master
QUEST_20150317_000135	If the sword is a symbol of power, then the spear is that of pure destruction. {nl}Power or destruction - what would you reach for on the battlefield?	Jika sword adalah lambang kekuasaan, maka spear adalah senjata untuk menghancurkan.  {nl} Kekuasaan dan senjata. Yang mana pilihanmu jika berada di medan pertempuran?
QUEST_20150317_000136	Machine Worker	Machine Worker
QUEST_20150317_000137	Even with the world as chaotic as it is, we can't stop working. {nl}It's been four years. Isn't it time to make peace with the past and start over?	Meskipun dunia sedang kacau, aku tidak bisa bersantai. {nl}Empat tahun telah berlalu, jadi kita harus tenang dan mulai dari awal.
QUEST_20150317_000138	Klaipeda is a town that lives off its mining. {nl}With Medzio Diena, we ought to work on planting trees or cutting them.	Mining adalah mata pencaharian utama di Klaipeda.  {nl} Jika kita berhenti bekerja karena Divine Day, kita harus tetap bekerja dengan mengukir kayu.
QUEST_20150317_000139	My old man did this thing where he checked around corners for anything nice. {nl}Sometimes, he'd get lucky and find a nice treasure chest. I wonder who leaves them there.	Pamanku bilang, kamu harus teliti saat bertualang.  {nl} Terkadang, jika kamu beruntung, kamu bisa menemukan treasure chests disekitar. Kira-kira siapa yang membawanya ya?
QUEST_20150317_000140	Retired Hunter	Retired Hunter
QUEST_20150317_000141	I remember this battle in a deep canyon where soldiers fought a huge monster. {nl}Seeing the giant thing fall was amazing, but what was more amazing were the spoils.	Aku melihat para prajurit bertarung melawan monster besar di Deep Canyon. {nl}Aku sangat kaget mereka dapat mengalahkan monster itu, tapi aku lebih terkejut dengan hadiah yang mereka dapatkan.
QUEST_20150317_000142	Old Potter	Old Potter
QUEST_20150317_000143	I put a prayer on my earthenware, one by one. {nl}That way, the pots will one day be filled with the goddess' blessings.	Aku menaruh harapan di setiap tembikar yang aku panggang. {nl}Aku melakukan ini, agar berkat dari Goddess diberikan secara penuh.
QUEST_20150317_000144	Swordsmen should have Strength, but you can also have Dexterity and Constitution. {nl}You'll need to think about what to start with.	Class Swordsman mengutamakan Strength.  {nl} Tapi kamu juga bisa menguasai Agility atau Constitution.  {nl} Kamu harus menitik beratkan pada pilihan yang kamu inginkan.
QUEST_20150317_000145	Wizards work with Intelligence, but shouldn't forget Spirit for more spell-casting. {nl}You'll have to choose between being balanced or specialized.	ClassWizard mengutamakan Intelligence.  {nl} Namun kamu juga tidak boleh melupakan Spirit jika kamu ingin bisa menggunakan banyak magic.  {nl} Pilihlah dengan bijak antara keseimbangan dan fokus pada serangan.  {nl}
QUEST_20150317_000146	Archers should have Strength, but Dexterity will prevent problems with movement. {nl}You'll need to think about what to start with.	Class Archer mengutamakan Strength.  {nl} Namun agility juga sangat penting.  {nl} Pikirkan dengan baik jalan mana yang akan kamu tuju.  {nl}
QUEST_20150317_000147	Clerics work with Intelligence, but might need a lot of Strength or Spirit. {nl}You should really decide what you want first.	Class Cleric mengutamakan Intelligence.  {nl} Tapi kamu juga butuh strength atau juga spirit.  {nl} Perkirakan kamu ingin memilih role yang seperti apa nanti.  {nl}
QUEST_20150317_000148	Doppelsoeldner Master	Doppelsoldner Master
QUEST_20150317_000149	Worthwhile things always carry a degree of risk. {nl}Naturally, for big rewards, you'll have to put up with lots of danger.	Resiko besar, Keuntungan besar. {nl}Jika kamu menginginkan keuntungan yang besar, berarti kamu harus mengambil resiko yang besar.
QUEST_20150317_000150	Corsair Master	Corsair Master
QUEST_20150317_000151	I won't help anyone in trouble if there isn't anything in it for me.	Aku tidak perlu menolong orang lain jika tidak mendapatkan keuntungan.
QUEST_20150317_000152	Boulder	Batu Besar
QUEST_20150317_000153	A large boulder is blocking the way.	Tertutup oleh batu yang besar..
QUEST_20150317_000154	It needs to be repaired.	Perlu diperbaiki..
QUEST_20150317_000155	A boulder blocks the way.	Tertutup oleh batu besar..
QUEST_20150317_000156	Magical Research Material	Magical Research Material
QUEST_20150317_000157	It appears to be someone's research notes from Mage Tower. {nl}Should it be copied?	Sepertinya itu adalah bahan penelitian magic dari magician di Magicians' Tower. {nl}Haruskah aku salin?
QUEST_20150317_000158	Hiding and sneaking won't solve all your problems. {nl}A true Scout must also be ready to fight.	Bersembunyi dan menyusup bukanlah segalanya. {nl}Kemampuan bertempur juga dibutuhkan Scouts.
QUEST_20150317_000159	You're gonna need a lot of things when traveling. {nl}Be sure to stock up your provisions in advance.	Kamu membutuhkan berbagai perlengkapan saat bepergian. {nl}Akan lebih baik jika kamu membeli dan mempersiapkannya.
QUEST_20150317_000160	If the control magic is dispelled, the divine messages won't be protected.	Jika spell untuk mengendalikan magic berhenti, wahyu dari Goddess  tidak bisa di lindungi lagi.
QUEST_20150317_000161	Forgotten Thief's Monument	Unnamed Thief's Gravestone
QUEST_20150317_000162	I, Zubeck, leave this epitaph. {nl}For the honor of being the greatest thief in history, I challenged a powerful sorcerer.	Aku akan meninggalkan ukiran pada batu ini. {nl}Dengan segala martabatku sebagai thief yang terhebat aku akan menantang magician terkuat.
QUEST_20150317_000163	But could I, a mere thief, claim victory by merely stealing from her? {nl}Perhaps, if I could rob the greatest archmage blind.	Bisakah aku bilang, bahwa aku bisa sukses hanya dengan mencuri? {nl}Sepertinya aku bisa bilang, aku bisa sukses hanya karena mencuri dari magician terhebat. {nl}
QUEST_20150317_000164	Yet, I couldn't. {nl}I wanted to be the number one thief in all of history, not just today.	Tapi, Aku tidak ingin seperti itu. {nl}Aku ingin menjadi thief terhebat sepanjang masa, tidak hanya terhebat dalam masa ini.
QUEST_20150317_000165	I have at last discovered a way to enter the Mage Tower. {nl}To do so one has to concentrate magic power at a specific place. {nl}Now, I only need take one more decisive step.	Akhirnya, Aku menemukan cara untuk masuk ke Magicians' Tower. {nl}Itu adalah memusatkan kekuatan magic ke suatu tempat. {nl}Sekarang, aku hanya butuh menentukan langkah yang tepat.
QUEST_20150317_000166	Then, my special device will activate. {nl}If you do as I did, you will be able to enter the tower as well.	Nanti, perangkat khusus milliku akan menyala. {nl}Jika kamu mengikuti aku, kamu juga bisa masuk ke Magicians' Tower. {nl}
QUEST_20150317_000167	After that, you too can show those dumb magicians a thing or two. Haha!	Tentu saja, setelah itu, kamu harus berhadapan dengan magician yang bodoh. Haha!
QUEST_20150317_000168	Commanding Monument	Commanding Monument
QUEST_20150317_000169	The thieves who entered this tower were burned alive. {nl}I leave this monument as a warning to other trespassers. {nl}- Agailla Flurry	Aku membunuh thief yang masuk ke tower dan mencuri barang dengan api. {nl}Tapi, Aku meninggalkan batu nissan para thief untuk memperingatkan para penyusup. {nl} -Agailla Flurry-
QUEST_20150317_000170	Demon Queen Gesti	Demon Queen Gesti
QUEST_20150317_000171	Insolent humans.	Beraninya kamu manusia biasa..  {nl}
QUEST_20150317_000172	Just you wait. This isn't the end. {nl}Pray with your heart that Laima will save this world.	Tunggu dan lihatlah. Ini belum selesai. {nl}Berdoa pada Laima agar menyelamatkan dunia.
QUEST_20150317_000173	Klaipeda Officer	Klaipeda Officer
