QUEST_LV_0100_20150317_000001	Sentinel	Sentinel
QUEST_LV_0100_20150317_000013	Be warned!{nl}Monsters are attacking, so all civilians must evacuate!{nl}Why are those civilians in the military zone anyway?{nl}	Waspadalah!{nl}Para monster menyerang, sehingga semua penduduk harus dievakuasi{nl} Namun bagaimana bisa para penduduk berada di dalam Military zone? {nl}
QUEST_LV_0100_20150317_000014	Ah, so you are the Revelator! I'm sorry, I didn't recognize you.{nl}Monsters are attacking the supply base at the moment.{nl}I need to get some important rations out from the base. Please help me!	Ah. Jadi kamu sang Savior! Maafkan aku yang tidak mengenalimu. {nl} Para monster itu menyerang supply base saat ini. {nl} Aku perlu membawa keluar beberapa supply penting dari sana. Tolong bantu aku!
QUEST_LV_0100_20150317_000015	It was peaceful not too long ago, but now they are coming in groups.{nl}What's happening exactly?	Tempat ini sangat damai sebelumnya, tapi sekarang mereka berdatangan dalam jumlah yang besar. {nl} apa yang terjadi?
QUEST_LV_0100_20150317_000016	Even so, I felt uneasy...{nl}Who knew that they'd attack in such an absurd manner?	Meskipun begitu, Aku merasa tidak tenang…{nl} Siapa yang  menyangka mereka menyerang dengan cara yang tidak masuk di akal.
QUEST_LV_0100_20150317_000017	The rations are in the First Supply Warehouse, which you can get to using the road {nl}on the upper side. Please bring back whatever leftovers you find... 	Ikuti jalan ini maka kamu akan sampai di supply warehouse pertama. {nl} Tolong kumpulkan supply apa pun yang masih tersisa!
QUEST_LV_0100_20150317_000018	I wrote down who Sparnas is. Maybe it will be useful in the future.{nl}Though I may not appear so right now, I was a biologist four years ago.	Untuk berjaga - jaga saja siapa tahu kamu butuh di kemudian hari, aku akan menulis siapa Sparnas itu. {nl} Mungkin kamu tidak tahu, aku adalah seorang biologist 4 tahun yang lalu.
QUEST_LV_0100_20150317_000019	Please pass this report to Luders.{nl}He is probably at the Center Supply Camp.	Tolong berikan laporan ini kepada Luders, {nl} kemungkinan dia berada di Center Supply Camp.
QUEST_LV_0100_20150317_000020	Officer Luders	Officer Luders
QUEST_LV_0100_20150317_000021	Ah, you must be the so called Revelator. Nice to meet you.{nl}Is this Blak's report?{nl}	Ah,  kamu pasti Savior yang dirumorkan itu, senang bertemu denganmu. {nl} apakah ini Report dari Blak!{nl}
QUEST_LV_0100_20150317_000022	Hmm... Is that so?{nl}It appears they simply destroyed the supplies and ran away. But even if Chupacabras had wings, {nl}surely they can't do something like that.{nl}	Hmmmm…Jadi begitu?{nl} mereka hanya menghancurkan Supply itu dan pergi? Bahkan jika chupacabras mempunyai sayap, aku yakin mereka tak akan mampu melakukan hal seperti itu. {nl}.
QUEST_LV_0100_20150317_000023	This isn't enough.{nl}I am sorry, but please bring us Moody's report from Amzina Curved Path.	Ini masih belum cukup.{nl} Maafkan aku, tapi tolong bawalah kami ke Moody's Report dari Amzina Curved Path.
QUEST_LV_0100_20150317_000024	I feel better since Luders is here.	Aku merasa lebih baik semenjak Luders berada disini.
QUEST_LV_0100_20150317_000025	Soldier York	Soldier York
QUEST_LV_0100_20150317_000026	The Siaulambs are crossing the road. I am in a panic myself, and I don't know what to do.{nl}I'm sure Luders won't allow this to happen... What should we do?	Siaulambs telah menyebrangi perbatasan. {nl} aku jadi panik, dan aku pun tak tahu apa yang harus dilakukan. {nl} Aku yakin Luders tidak menginginkan ini terjadi… apa yang harus kita lakukan?
QUEST_LV_0100_20150317_000027	Do you think the problem will be resolved just by defeating Sparnas?	Kamu pikir masalahnya akan selesai hanya dengan mengalahkan Sparnas?
QUEST_LV_0100_20150317_000028	Thanks to your help, I think I can hold myself together.{nl}But... won't this kind of thing happen again? What should I do then...?	Terima kasih atas bantuanmu, aku rasa aku dapat mengendalikan diri dari rasa panik.{nl} tetapi….Hal seperti ini akan terjadi kembali bukan? Lalu apa yang harus aku lakukan…
QUEST_LV_0100_20150317_000029	Sparnas? We don't have a clear answer about it.{nl}It just appeared from the sky without any signs and destroyed all the supplies we had. Then, it {nl}quickly disappeared. We got headaches just hearing its cries.	Sparnas? Kami tidak mempunyai jawaban pasti mengenai hal itu.{nl} Tiba tiba muncul dari udara tanpa ada tanda-tanda sebelumnya, menghancurkan semua supply dan langsung menghilang. {nl} aku mendadak pusing hanya dengan mendengarkan suara tangisannya saja.
QUEST_LV_0100_20150317_000030	The place I just talked about is the Second Supply Warehouse.{nl}It is depressing to think how these kinds of things will be recurring in the future.	Tempat yang kuberitahukan kepadamu adalah warehouse supply kedua. {nl} Ini sangat memusingkan karena hal ini dapat terulang kembali kedepannya.
QUEST_LV_0100_20150317_000031	Take it. I made some bait from old grains in the supplies.{nl}I will lure it from up there, so you stay here. Sparnas will definitely appear at one of these {nl}two places. Don't let it escape. Destroy it for sure.{nl}	Bawa ini. Umpan ini terbuat dari Old grain. {nl} Sparnas pasti akan muncul disalah satu dari dua tempat ini. Jangan sampai gagal. Dan pastikan hancur. {nl}
QUEST_LV_0100_20150317_000032	We may not get a second chance if we don't defeat it this time.{nl}It doesn't seem like they're idiots.	Mungkin kita tidak akan mendapatkan kesempatan untuk kedua kalinya, jika kita tidak mengalahkannya kali ini. {nl} Mereka tidaklah bodoh
QUEST_LV_0100_20150317_000033	I heard the sound of fighting so I came in a hurry. Did you defeat it?{nl}I only spotted the Siaulambs at my spot.{nl}Thank you. You have performed a meritorious deed.	Aku mendengar suara pertarungan, sehingga aku datang secepat mungkin.. Apakah kamu telah mengalahkannya?{nl} Saya hanya melihat Siaulambs di tempaku.{nl}Terima kasih. Ini semua berkat anda. 
QUEST_LV_0100_20150317_000034	Adjutant General Paulina	Adjutant General Paulina
QUEST_LV_0100_20150317_000035	We should recover the stolen supplies.{nl}We can't call ourselves soldiers of the kingdom if we don't do anything about it.{nl}	Kita harus mendapatkan kembali supply yang telah di curi.{nl} kita bukanlah prajurit kerajaan bila kita tidak bisa berbuat apa - apa.{nl}
QUEST_LV_0100_20150317_000036	The stolen supplies were taken by the Siaulambs in every Supply Warehouse, {nl}recover the supplies and bring them to Volda.	Supply dicuri oleh Siaulambs di setiap Supply Warehouse,{nl} rebut kembali supply yang dicuri dan bawa ke Volda.
QUEST_LV_0100_20150317_000037	I feel so fed up having to endure this all the time. Reinforcements should be coming soon.{nl}But what can we expect from such an incompetent kingdom?	Aku merasa begitu muak karena harus bersabar selama ini. {nl} Reiforcemnet seharusnya segera datang. {nl}Namun apa yang bisa kami harapkan dari kerajaan yang tidak berkompeten ini?
QUEST_LV_0100_20150317_000038	Adjutant General Volda	Adjutant General Volda
QUEST_LV_0100_20150317_000039	Thank you very much, but you must be late for other matters.{nl}Besides we can't just sit here and wait. We plan to keep attacking.	Kamu pasti sibuk akan hal lain jadi terima kasih banyak. {nl} Dan kami tidak hanya duduk diam dan menunggu. Kami akan terus menyerang.
QUEST_LV_0100_20150317_000040	Secret Guardian	Secret Guardian
QUEST_LV_0100_20150317_000041	The goddess already foresaw this.{nl}Nothing can escape from her vision.	Goddess sudah di meramalkannya. {nl} Tiada yang bisa lolos dari ramalannya.
QUEST_LV_0100_20150317_000042	Liaison Officer Niels	Liaison Officer Niels
QUEST_LV_0100_20150317_000043	Hello.{nl}Have you seen an old man who has lost his way?{nl}His name is Jonas.{nl}	Hello. {nl} Apakah kamu melihat orang tua yang kehilangan arah?{nl} Namanya Jonas.{nl}
QUEST_LV_0100_20150317_000044	You haven't seen him?{nl}Now, which direction would that feeble old fellow have wandered off towards?	Kamu tidak menemukannya?{nl} dimana dia sekarang. Kelakuannya kekanak - kanakan.
QUEST_LV_0100_20150317_000045	Jonas is a descendant of the family that has been protecting this Royal Mausoleum.{nl}He is a very important person to our lab team so please take good care of him.	Jonas adalah salah satu keturunan keluarga yang ikut melindungi Royal Mausoleum ini. {nl} dia adalah orang yang sangat penting pada tim lab kami. Jadi tolong jagalah ia .
QUEST_LV_0100_20150317_000046	Archivist Jonas	Archivist Jonas
QUEST_LV_0100_20150317_000047	Our family has been waiting for you for a long time.{nl}It is time to give you something that we have been protecting for quite a while.	Kami sudah lama menunggu. {nl} sekarang waktunya untuk memberikanmu sesuatu yang telah kami lindungi selama ini.
QUEST_LV_0100_20150317_000048	It is good to hear that Jonas has regained his consciousness.{nl}You are the person who casted the light signal, right?{nl}	Senang mendengar Jonas telah kembali sadar. {nl} Kamukah orang yang memberikan sinyal itu?
QUEST_LV_0100_20150317_000049	Ahylas has come to meet whoever lit the signal.{nl}Meet him downstairs.	Ahylas datang dan melihat cahaya sinyal. {nl} temui dia dibawah tangga.
QUEST_LV_0100_20150317_000050	We haven't heard any news from Kepeck for a long time, not since we sent him supplies.{nl}We don't have enough people to form a search team, so please help us find him.	Sudah lama kami tidak mendengar kabar dari Kepeck, semenjak kami mengirimkan supplies kepadanya.{nl}Kami tidak memiliki cukup orang untuk membentuk tim pencari, jadi tolong cari dia.
QUEST_LV_0100_20150317_000051	Historian Viode	Historian Viode
QUEST_LV_0100_20150317_000052	Always be prepared for monster attacks.{nl}Especially in places like here.	Selalu bersiap untuk serangan dari monster.{nl}Terutama ditempat seperti ini.
QUEST_LV_0100_20150317_000053	Mercenary Mirta	Mercenary Mirta
QUEST_LV_0100_20150317_000054	}Didn't I already warn you?{nl}Be careful next time.	Aku sudah memperingatkan bukan?{nl} Lain kali berhati-hatilah.
QUEST_LV_0100_20150317_000055	Historian Kepeck	Historian Kepeck
QUEST_LV_0100_20150317_000056	Niels must have sent you.{nl}Well, since you're in a hurry, document it yourself and take it back to Niels.	Pasti Niels yang mengirim kamu.{nl}Nah, karena kamu sedang terburu-buru catat sendiri dan kembali ke Niels.
QUEST_LV_0100_20150317_000057	If you go straight, take the road to your right and cross the bridge, {nl}you will see the artifacts of the Great King Zachariel.{nl}Archive them and take it back to Niels. He will understand.	Jika kamu berjalan lurus, ambil jalan ke kanan dan melintasi Jembatan, kamu akan melihat artifacts of the Great King Zachariel.{nl}Catat dan bawa kepada Niels. Dia akan mengerti.
QUEST_LV_0100_20150317_000058	So these are Kepeck's notes... Mercenary Mirta was looking for this.{nl}You helped confirm the safety of two individuals. Thank you for your efforts.	Jadi ini catatan Kepeck.. Mercenary Mirta sedang mencari ini.{nl}Kamu membantu memastikan keselamatan dua individu. Terima kasih atas usahamu.
QUEST_LV_0100_20150317_000059	Ahylas Jonas	Ahylas Jonas
QUEST_LV_0100_20150317_000060	Now take the unsealing stone and go to Broken Pillar Canyon. {nl}The Disciple of Gustas will teach you how to release the seal there.	Sekarang pergilah ke Broken Pillar Canyon dengan membawa Seal Removing Stone itu.{nl} Murid Gustas akan memberi tahukan cara untuk melepas segel di tempat itu secara berurutan.
QUEST_LV_0100_20150317_000061	Were you not guided yet?{nl}Take it to the Disciple of Gustas in Broken Pillar Canyon.{nl}It is made to let only the chosen one enter.	Masih juga belum mendapatkan panduan?{nl}Murid dari Gustas yang ada di Broken Pillar Canyon.{nl} panduan itu dibuat untuk mengirimkan kepada yang terpilih saja.
QUEST_LV_0100_20150317_000062	Disciple of Gustas	Disciple of Gustas
QUEST_LV_0100_20150317_000063	Did you release the seal of Pagasa Cliff?{nl}You have to start from that seal.	Apakah kamu ingin membuka Seal of Pagasa Cliff?{nl} Kamu harus memulainya dari seal itu.
QUEST_LV_0100_20150317_000064	Words engraved into a rock	Kata - kata yang terukir diatas batu
QUEST_LV_0100_20150317_000065	Do not touch or push the rock.	Dilarang menyentuh atau mendorong batu.
QUEST_LV_0100_20150317_000066	I was waiting for you.{nl}The next seal is located on the way to the Collapsed Sanctum.	Aku sudah menunggumu. {nl} Seal berikutnya terletak dijalan menuju Collapsed Sanctum.
QUEST_LV_0100_20150317_000067	You don't know how eagerly we have waited for this moment.{nl}We really wanted to meet you.	Kamu tidak tahu bagaimana perasaan kami menunggu momen ini. {nl} kami ingin sekali bertemu denganmu.
QUEST_LV_0100_20150317_000068	Gustas Jonas	Gustas Jonas
QUEST_LV_0100_20150317_000069	It's you.{nl}You are much more gallant than what I had imagined.	Jadi itu kamu. {nl} Kamu terlihat lebih gagah dari yang ku bayangkan.
QUEST_LV_0100_20150317_000070	Soldier Alan	Soldier Alan
QUEST_LV_0100_20150317_000071	Are you the new recruit?{nl}I received a patrolling order, but I guess you can go my behalf.	Kamu adalah prajurit baru kan?{nl} Aku mendapatkan surat tugas, tapi ku rasa kamu dapat melakukannya untuk mewakiliku.
QUEST_LV_0100_20150317_000072	You're good for a newbie.{nl}I have a memory of something horrible happening there once, so I don't want to go.	Kamu cukup hebat sebagai pemula. {nl}Aku tidak mau kesana karena banyak memori yang buruk terjadi disana.
QUEST_LV_0100_20150317_000073	I'm remembering something...	Aku mulai mengingat sesuatu…
QUEST_LV_0100_20150317_000074	}You know that we are dispatched here to defeat Gaigalas, right?{nl}Rookie. Can you take this report to Commander Wallace?	Kau mengetahui bahwa kami pasukan yang berpatroli untuk menghabisi Gaigalas, kan?{nl}Prajurit baru. Bisakah kamu mengantarkan laporan ini kepada Commander Wallace?
QUEST_LV_0100_20150317_000075	Commander Wallace	Commander Wallace
QUEST_LV_0100_20150317_000076	Why did you bring this report without Alan coming?{nl}Are you a new recruit or something?	Kenapa Alan tidak datang dan malah kamu yang membawa laporan ini?{nl} Apakah kamu prajurit yang baru di rekrut?
QUEST_LV_0100_20150317_000077	I can return home after Gaigalas is defeated.{nl}Well, I'd like to go home as soon as possible.	Aku bisa pulang setelah mengalahkan Gaigalas.{nl} Ah, aku ingin segera pulang secepat mungkin.
QUEST_LV_0100_20150317_000078	Commander Wallace is at Bird Footprint Junction.	Commander Wallace berada di Bird Footprint Junction.
QUEST_LV_0100_20150317_000079	I don't care how good you are. You are new here.{nl}This is an order. Bring me some sap from Kepa Raiders.	Aku tidak perduli seberapa hebatnya kamu. Kamu masih anak baru disini.{nl} dan ini perintah. Bawakan sap dari Kepa Raiders.
QUEST_LV_0100_20150317_000080	Soldiers these days, they lack guts.{nl}I hope you'll be a good influence to them.	Para prajurit sekarang ini, mereka kurang memiliki nyali.{nl} Ku harap kamu bisa menjadi contoh yang bagus untuk mereka.
QUEST_LV_0100_20150317_000081	It's clear that we will win this battle.{nl}Why? Because the Owls are helping.	Aku yakin kita akan menangkan peperangan ini. {nl} Kenapa?  Karena Owls akan membantu kita.
QUEST_LV_0100_20150317_000082	Kepa Raiders are near Ianutis Waterfall.{nl}To defeat Gaigalas, we will surely need them.	Kepa Raiders berada didekat Lanutis Waterfall.{nl} Untuk mengalahkan Gaigalas, kita sangat membutuhkannya.
QUEST_LV_0100_20150317_000083	Soldier Weiz	Soldier Weiz
QUEST_LV_0100_20150317_000084	Hey, rookie, are you on a break?{nl}Get some fat from Duckys in Lengvas Garden.	Hey apa kamu sedang beristirahat?{nl}Ambil beberapa Duckey Fat di Lengvas Garden.
QUEST_LV_0100_20150317_000085	We will lure Gaigalas using Ducky Fat.{nl}Hey rookie, don't loaf around, alright?	Kami akan mamancing Gaigalas dengan menggunakan Ducky Fat. {nl} hey anak baru, jangan bermalas-malasan, oke?
QUEST_LV_0100_20150317_000086	Today will be the last day for Gaigalas.{nl}Are you ready, rookie?	Hari ini akan menjadi hari terakhir bagi Gaigalas. {nl}Anak baru, apa kamu siap?
QUEST_LV_0100_20150317_000087	Next, we will get leather from Cronewts in Lengvas Garden.{nl}Hurry, soldier.	Berikutnya, kita harus mendapatkan Leather dari Cronewt yang hidup di Lengvas Garden. {nl} Ayo cepat, prajurit.
QUEST_LV_0100_20150317_000088	We will win for sure this time.{nl}The goddesses are on our side.	Kali ini kita pasti akan menang.{nl}Goddess ada dipihak kita.
QUEST_LV_0100_20150317_000089	You are pretty good for a rookie.{nl}It's disorganized here at the moment, so you can keep those ingredients for now.{nl}	Kamu cukup hebat sebagai pemula.{nl} Untuk saat ini masih belum terorganisir jadi simpan saja bahan tersebut untuk sekarang.{nl}
QUEST_LV_0100_20150317_000090	Get to know our soldiers while I make preparations for the battle.{nl}I will call you before we confront Gaigalas.	Sambil aku melakukan persiapan untuk peperangan nanti, cari tahu keadaan pasukan kita. {nl} aku akan memanggilmu sebelum kita berhadapan langsung dengan Gaigalas
QUEST_LV_0100_20150317_000091	When we burn the Ducky Fat, Gaigalas will appear after smelling the odor.{nl}Lengvas Garden will be a good place to burn it.	Ketika kita membakar Ducky Fat, Gaigalas akan muncul setelah mencium aromanya. {nl} Lengvas Garden merupakan tempat yang cocok untuk membakarnya.
QUEST_LV_0100_20150317_000092	My heart is pounding.{nl}I feel like my soul is throbbing with it.	Jantungku berdebar. {nl} aku merasa jiwaku juga ikut berdebar.
QUEST_LV_0100_20150317_000093	Old Owl Sculpture	Old Owl Sculpture
QUEST_LV_0100_20150317_000094	There is no one in this forest. Why are you here?{nl}	Tidak ada siapa pun di hutan ini. Kenapa kamu berada disini?{nl} 
QUEST_LV_0100_20150317_000095	Gaigalas?{nl}Defeating it without any assistance will be difficult.	Gaigalas?{nl} akan sulit untuk mengalahkannya tanpa adanya bantuan.
QUEST_LV_0100_20150317_000096	I have seen many deaths here.{nl}And I don't want to see any more sacrifices.	Aku sudah melihat banyak kematian disini.{nl} aku tidak ingin melihat adanya penggorbanan lagi.
QUEST_LV_0100_20150317_000097	I need Kepa Raider Sap and Cronewt Leather.	Aku butuh Kepa Raider Sap dan Cronewt Leather.
QUEST_LV_0100_20150317_000098	Why do you have that?{nl}Hand it to me and I will make a Memory Fragment.	Kenapa kamu bisa memilikinya?{nl} Berikan kepadaku. Aku akan membuatkan Memory Fragment .
QUEST_LV_0100_20150317_000099	With this Memory Fragment, I will revive the memories of our sleeping comrades.	Aku akan mengembalikan ingatan dari rekan-rekan kita yang tertidur dengan Memory Fragment ini.
QUEST_LV_0100_20150317_000100	It will be difficult to defeat it without a Memory Fragment.{nl}Please bring me Infro Holder Horns.	Akan lebih sulit untuk mengalahkannya tanpa Memory Fragment.{nl} tolong bawakan saya Infro Holder Horns.
QUEST_LV_0100_20150317_000101	How come you have all these ingredients?	Bagaimana bisa kamu memiliki semua bahan-bahan ini? 
QUEST_LV_0100_20150317_000102	Those are people who are already gone from this world. {nl}They are repeating what happened back then because of their anger for Gaigalas.	Mereka adalah orang-orang yang sudah tidak ada di dunia ini.{nl} Mereka terus mengulangi apa yang terjadi di masa lalu karena dendam kepada Gaigalas.{nl}
QUEST_LV_0100_20150317_000103	We can calm them if we defeat Gaigalas.{nl}Please go see the Worrying Owl.	Kita dapat menenangkan mereka, jika kita mengalahkan Gaigalas.{nl} Pergilah temui Worrying Owl.
QUEST_LV_0100_20150317_000104	Worrying Owl Sculpture	Worrying Owl Sculpture
QUEST_LV_0100_20150317_000105	Please help me wake my sleeping comrades and complete the magic of that day.{nl}With the Memory Fragment.	Tolong aku membangunkan rekanku yang tertidur dan melengkapi magic of the day. {nl}  Dengan menggunakan Memory Fragment.
QUEST_LV_0100_20150317_000106	They may become satiated.{nl}I will stand here while remembering my comrades.	Mereka telah terpuaskan.{nl}Aku akan tetap tinggal disini selagi mengingat rekan-rekanku.
QUEST_LV_0100_20150317_000107	You will find Gaigalas when you go to Ishimtini Access Way.{nl}Please avenge the fallen soldiers.	Kamu akan menemukan Gaigalas bila kamu pergi ke Ishimtini Access Way.{nl} balaskan dendam para parajurit yang gugur.
QUEST_LV_0100_20150317_000108	I was in an isolated place so I did not fall asleep.{nl}But, watching it all was painful for me.	Aku berada di tempat yang terisolasi sehingga aku tidak tertidur.{nl} Namun, melihat semuanya itu terjadi benar-benar menyakitkan bagiku.
QUEST_LV_0100_20150317_000109	My comrades were attacked while they were trying to help the soldiers.	Teman-temanku diserang saat mencoba membantu para prajurit.
QUEST_LV_0100_20150317_000110	Jonas recovered awareness after drinking the medicine.	Kesadaran Jonas mulai pulih setelah meminum obat
QUEST_LV_0100_20150317_000111	Archaeologist Dezic	Archaeologist Dezic
QUEST_LV_0100_20150317_000112	I am looking for my assistant named Airine.{nl}Can you defeat the monsters nearby so I can go look for her?	Aku mencari asistenku namanya Airine.{nl} Bisakah kamu melawan semua monster yang mendekat sehingga aku bisa mencarinya?
QUEST_LV_0100_20150317_000113	I told her not to get excited even if she finds something.{nl}And yet she did it again.	Sudah kubilang kepadanya untuk jangan terlalu bersemangat bahkan jika ia menemukan sesuatu.{nl} Dan ia mengulanginya lagi.
QUEST_LV_0100_20150317_000114	Thanks.{nl}I'll go look for Airine.	Terima kasih.{nl} Aku akan pergi mencari Airine.
QUEST_LV_0100_20150317_000115	Technician Heinen	Technician Heinen
QUEST_LV_0100_20150317_000116	}This cable car can only be ridden by those with a permit. I'm afraid I have to tell you to turn back {nl}towards Vienesa Highlands.	Cable car ini hanya bisa digunakan oleh mereka yang memiliki izin.{nl} Mohon maaf, tapi kembalilah ke Vienisa Highlands.{nl}
QUEST_LV_0100_20150317_000117	However, if you defeat the troublesome monsters around this area, I'll think about it.	Tetapi jika kamu bisa menghabisi monster yang mengganggu di sekitar sini, maka akan ku pertimbangkan
QUEST_LV_0100_20150317_000118	}Isn't it better to use the cable car rather than getting injured passing through the monsters? {nl}Of course, this is if you can ride the cable car.	Bukankah lebih baik menggunakan cable car daripada terluka ketika melewati para monster?.{nl} Tentu saja, itu bisa dilakukan jika kamu bisa menaiki cable car ini.
QUEST_LV_0100_20150317_000119	Much better than I expected.{nl}I want to propose a deal to you.	Kemampuanmu lebih baik dari dugaanku.{nl} Aku ingin mengajukan suatu kesepakatan kepadamu.
QUEST_LV_0100_20150317_000120	I'll let you keep using the cable car if you destroy the strange seal at Nutoles  Cliff.{nl}The monsters seem to be increasing in numbers because of that seal.	Jika kamu menghancurkan barrier aneh di Alkune Stairway, maka akan kubiarkan kamu menggunakan cable car ini.{nl}Karena barrier itu membuat jumlah monster menjadi bertambah banyak.
QUEST_LV_0100_20150317_000121	As promised, you can use the cable car as much as you want.{nl}Just tell William over there or Cyneburg on the other side that I gave my permission.	Karena barrier telah dihancurkan, sesuai janjiku silahkan gunakan cable car ini sesukamu.{nl} Jika kamu meminta bantuan pada William yang ada di sebelahku, atau Cyneburg yang ada di seberang mereka akan membantumu.
QUEST_LV_0100_20150317_000122	That barrier... Hmm. When exactly did it form?{nl}I know it has been there for quite some time now, but I can't remember for how long exactly.	Barrier itu… Hmm. sejak kapan itu dibuat?{nl}Sudah ada disana sejak lama, tapi aku lupa untuk pastinya kapan?
QUEST_LV_0100_20150317_000123	I am certain that barrier was responsible for the increasing number of monsters lately.{nl}	Aku yakin bertambahnya para monster akhir-akhir ini dikarenakan adanya barrier itu.{nl} 
QUEST_LV_0100_20150317_000124	We don't have many soldiers guarding this area.{nl}Who in their right mind would come here in this day and age?{nl}	Kami tidak memiliki cukup pasukan untuk menjaga daerah ini.{nl} Tidak akan ada orang yang ingin datang kesini di zaman sekarang ini.{nl}
QUEST_LV_0100_20150317_000125	Rolandas Jonas	Rolandas Jonas
QUEST_LV_0100_20150317_000126	No one knows what the Great King Zachariel tried to protect.{nl}And I'm sure that we're not the only ones who want to solve that mystery.	Tidak ada yang tahu apa yang Great King Zachariel coba lindungi.{nl}Namun, aku yakin bukan hanya kita disini yang ingin mengungkapkan misteri ini.
QUEST_LV_0100_20150317_000127	Hurry, use the Great King's Key to release the seals.{nl}You should know what to do next afterwards.	Cepat, Lepaskan semua seal dengan menggunakan Great King's Key.{nl}Setelah itu Kamu akan mengetahui apa yang harus dilakukan selanjutnya.
QUEST_LV_0100_20150317_000128	I found Airine, but I don't know how to rescue her.{nl}She is imprisoned in Rodoma 2nd Ruins, I can't rescue her myself...	Aku telah menemukan keberadaan Airine, tetapi aku tidak tahu bagaimana menyelamatkannya.{nl}Dia diikat di Rodoma 2nd Ruins, aku tidak mampu menyelamatkannya sendirian.
QUEST_LV_0100_20150317_000129	Assistant Airine	Assistant Airine
QUEST_LV_0100_20150317_000130	I can't move because of the barrier.{nl}Please break the three barriers in Rodoma Ruins.	Aku tidak dapat bergerak sedikitpun karena barrier ini.{nl} Tolong hancurkan tiga buah barrier yang ada di Rodoma Ruins.
QUEST_LV_0100_20150317_000131	Are you not done yet? Ah, geez...	Belum selesai? Ah, Sial…
QUEST_LV_0100_20150317_000132	I didn't expect that I would be taken into this kind of thing.{nl}Oh, the mess I caused from chasing that boy.	Aku tidak menyangka bahwa aku akan terjebak dengan hal semacam ini.{nl}Sial, seharusnya aku tidak mengikutinya.
QUEST_LV_0100_20150317_000133	Mercenary Glen	Mercenary Glen
QUEST_LV_0100_20150317_000134	So many researchers are disappearing these days.{nl}I'm trying to find clues by defeating some Sauga. Can you help us?	Banyak ilmuwan yang menghilang belakangan ini.{nl} aku berusaha untuk mencari beberapa petunjuk dengan mengalahkan Sauga, bisakah kamu membantu kami?
QUEST_LV_0100_20150317_000135	The Saugas split their loot fairly among themselves.{nl}Maybe we can find some clues from them.	Sauga membagi barang rampasan mereka secara adil.{nl}Mungkin kita bisa mendapatkan beberapa petunjuk dari mereka.
QUEST_LV_0100_20150317_000136	Fortunately they are very old.{nl}So that means these cases are not due to monsters.	Untungnya, mereka sudah terlalu tua.{nl} Ini menandakan bahwa kasus ini bukanlah disebabkan oleh para monster
QUEST_LV_0100_20150317_000137	This place is very dangerous; many have gone missing due to monsters or missteps.{nl}However, that is not what interests me.{nl}	Tempat ini sangat berbahaya, banyak orang yang menghilang disini karena monster atau tersesat.{nl} tapi bukan itu yang membuatku tertarik.{nl}
