ITEM_20150317_000001	Empty_helmet	없음_helmet	Empty_Helmet
ITEM_20150317_000119	Illizia	일리지아	Illizia
ITEM_20150317_000120	This blade severely threatens both the life of its foe and the owner's finances. Of course, most swordsmen ignore the latter effect.	적의 생명과 주인의 재정에 심각한 위해를 가합니다. 물론 대부분의 검사들은 전자에 주목하기 때문에 후자는 무시합니다.	Pedang ini membahayan nyawa musuh dan keuangan si pemilik. Tentu saja faktor kedua sering diabaikan oleh para swordman.
ITEM_20150317_000121	Scheduled for deletion	삭제예정	Dijadwalkan untuk penghapusan
ITEM_20150317_000122	Two-handed Sword [Slash]	양손검[베기]	Two-Handed Sword [Slash]
ITEM_20150317_000123	Dunkel Bastard Sword	던켈 바스타드 소드	Dunkel Bastard Sword
ITEM_20150317_000124	Some master craftsman and soldiers call this a 'mixed style two-handed sword.' They say this to justify themselves.	어떤 장인들과 검사들은 혼합양식의 양손 기본검이라 부릅니다. 자기 위안은 중요하니까 말입니다.	Para pembuat dan pasukan menyebutnya "campuran gaya dari two handed sword".
ITEM_20150317_000125	Flamberge	플랑베르쥬	Flamberge
ITEM_20150317_000126	If you're an expert in two-handed weapons, the wave shaped edge can cause massive damage.	양손검에 익숙하다면 물결치는 검날은 큰 피해를 입힐 수 있는 구조입니다.	Jika kamu ahli dalam two handed weapon, sisi yang bergelombang dapat menghasilkan damage yang besar.
ITEM_20150317_000127	Nodachi	노다치	Nodachi
ITEM_20150317_000128	A Nodachi with a length 'just right' can amplify its slashing power and dominate the space between the wielder and their foe.	적당한 길의 노다치는 베는 위력을 증강시키고 적과의 간격을 지배합니다.	Nodachi dapat meningkatkan jarak antara pemegangnya dengan musuh.
ITEM_20150317_000129	Claymore	클레이모어	Claymore
ITEM_20150317_000130	Claymores of this kingdom are made with an emphasis in weight and power.	우리 왕국의 클레이모어는 무게와 위력을 중시하여 만들어집니다.	Semua claymore di kerajaan kami dibuat dengan perhitungan kekuatan dan berat.
ITEM_20150317_000131	Colossus	콜로서스	Colossus
ITEM_20150317_000132	The unusual fan-shaped blade offers potential to amplify its power and versatility to be adapted in many techniques.	부채꼴 모양의 검미는 위력을 증대시키고 다양한 기술에 응용될 가능성이 있습니다.	Bentuknya disesuaikan untuk memperkuat fleksibilitas dan kecocokan semua teknik.
ITEM_20150317_000133	Caliburn	칼리번	Caliburn
ITEM_20150317_000134	Frequently carried by high ranking soldiers.	비교적 지위 높은 검사들이 애용하는 검입니다.	Sering digunakan oleh Prajurit tingkat atas.
ITEM_20150317_000135	Quaddara	콰다라	Quaddara
ITEM_20150317_000136	Contrary to its appearance, this sword is double-edged and often used by swordsmen pursuing practicality.	얼핏 보이는 외양과 달리 양날검이며, 실전성을 추구하는 검사들의 애용합니다.	Berbeda dengan penampilannya, pedang ini memiliki dua mata dan sering digunakan oleh para swordsman karena praktis.
ITEM_20150317_000137	Light Claymore	라이트 클레이모어	Light Claymore
ITEM_20150317_000138	The structure of this sword allows its user to perform a stabbing attack.	검미의 구조를 이용해 적을 찍는 공격이 가능하다고 합니다.	Bentuk pisau memungkinkan kamu untuk melakukan serangan strikedown.
ITEM_20150317_000139	Crude Colossus	조악한 콜로서스	Crude Colossus
ITEM_20150317_000140	Ilwoon	일룬	Ilwoon 
ITEM_20150317_000141	The Great Ruklys carried this sword in his early days.	위대한 루클리스도 초기에는 이 검을 애용했다고 합니다.	Pada mulanya, Great Ruklys membawa pedang ini.
ITEM_20150317_000142	Practice Bastard Sword	연습용 바스타드 소드	Practice Bastard Sword 
ITEM_20150317_000143	Bastard Sword	바스타드 소드	Bastard Sword
ITEM_20150317_000144	Heavy Flamberge	헤비 플랑베르쥬	Heavy Flamberge
ITEM_20150317_000145	Heavy Nodachi	헤비 노다치	Heavy Nodachi
ITEM_20150317_000146	Heavy Claymore	헤비 클레이모어	Heavy Claymore
ITEM_20150317_000147	Dunkel Nodachi	던켈 노다치	Dunkel Nodachi
ITEM_20150317_000148	Dunkel Quaddara	던켈 콰다라	Dunkel Quaddara
ITEM_20150317_000149	Dunkel Flamberge	던켈 플랑베르쥬	Dunkel Flamberge
ITEM_20150317_000150	Dunkel Claymore	던켈 클레이모어	Dunkel Claymore
ITEM_20150317_000151	Greatsword	그레이트 소드	Greatsword
ITEM_20150317_000152	Katzbalger	카츠발게르	Katzbalger
ITEM_20150317_000153	Dress Sword	드레스 소드	Dress Sword
ITEM_20150317_000154	Zweihander	쯔바이핸더	Zweihander
ITEM_20150317_000155	Executioner's Sword	엑스큐셔너스 소드	Executioner's Sword
ITEM_20150317_000156	Lumai Two-handed Sword	루마이 투 핸드 소드	Lumai Two-Handed Sword
ITEM_20150317_000157	Overknife	오버나이프	Overknife
ITEM_20150317_000158	Potentia	포텐티아	Potential
ITEM_20150317_000159	A great alternative for those unsatisfied with a regular Flamberge.	평범함 플랑베르쥬에 만족하지 못한다면 이것이 좋은 대안이 됩니다.	Solusi yang baik jika kamu menginginkan Flamberge yang tidak biasa.
ITEM_20150317_000160	Temsus Flamberge	템서스 플랑베르쥬	Temsus Flamberge
ITEM_20150317_000161	A sword with great capacity for improvement that compliments the wielder's innate power. Try its potential for yourself.	당신의 잠재력과 더불어 큰 향상의 여지가 있는 무기입니다. 그 가능성을 시험해 보십시오.	Pedang yang dapat memperkuat skill dan tekhnik bertarung kamu.
ITEM_20150317_000162	Didel Colossus	디델 콜로서스	Didel Colossus
ITEM_20150317_000163	This sword is for those who seek more weight, more power, and more reach in their slashes.	더 무겁게, 더 강하게, 더 넓게 공격하길 원한다면 이 검이 도움이 될 수 있습니다. 	Pedang ini cocok buatmu yang menginginkan kekuatan lebih, jarak dan kekuatannya telah ditingkatkan.
ITEM_20150317_000164	Collecture	콜렉투르	Collecture
ITEM_20150317_000165	Though popular in battles today, this weapon was considered a decorative or collectible item prior to the Great Plant Cataclysm.	식물재앙 이후 실전에서도 많이 쓰이지만, 그전에는 장식과 수집용 검의 성격이 짙었습니다.	Senjata ini banyak digunakan sebagai hiasan sebelum dimulainya Great Plant Catalysm.
ITEM_20150317_000166	Hogma Greatsword	호그마 그레이트 소드	Hogma Greatsword
ITEM_20150317_000167	How the Hogmas obtained or crafted this weapon is unimportant. We are more concerned with crafting and using it ourselves.	호그마들이 어디서 이런 무기를 구하는지 혹은 만드는지는 중요하지 않습니다. 우리가 제조하여 사용할 수 있다는 점이 중요합니다.	Tidak diketahui bagaimana Hogman dapat membuat senjata ini. Kita hanya bisa membuat dan menggunakannya.
ITEM_20150317_000168	Cheminis Bastard Sword	케미니스 바스타드 소드	Cheminis Bastard Sword
ITEM_20150317_000169	In the wake of the Great Plant Cataclysm, the Winterspoon family disclosed the crafting recipe for this weapon to all alchemists.	윈터스푼 가문은 식물재앙이란 초유의 사태를 맞아 모든 알케미스트에게 이검의 제조법을 공개했습니다. 	Saat terjadi  Great Plant Cataclysm, Resep pembuatan untuk senjata ini telah disebarkan ke semua alchemist.
ITEM_20150317_000170	Primaluce	프리마루체	Primaluce
ITEM_20150317_000171	Swordsmen seeking raw power in a weapon frequently choose this sword as their first magic sword.	자신의 첫 마법검으로 위력있는 무기를 원하는 검사들이 많이 선택하는 무기입니다.	Swordsman yang mencari kekuatan murni menjadikan pedang ini sebagai magic sword pertamanya.
ITEM_20150317_000172	Kindzal	킨드잘	Kindzal
ITEM_20150317_000173	Those who like to temper their weapons craft this sword for their own use.	자신의 무기를 길들이는 행위를 좋아하는 검사들은 이 검을 만들어 사용하기도 합니다.	Pedang yang cocok buat kamu yang suka memperkuat senjata.
ITEM_20150317_000174	Imperni Two-handed Sword	임페르니 투 핸드 소드	Imperni Two-Handed Sword
ITEM_20150317_000175	If you got this sword through the black market, it is clear evidence that you have obtained a certain level of reliability.	블랙마켓과의 거래에서 이 검을 얻었다면 어느 정도 신뢰를 얻었다는 증거로 볼 수 있습니다.	Jika kamu mendapatkan pedang ini di pasar gelap. Adalah bukti kalau pedang tersebut diperoleh dari orang terpercaya.
ITEM_20150317_000176	Prieblanda	프리에블란다	Prieblanda
ITEM_20150317_000177	This sword shares the same inventor with the 'Primaluce' sword.	이 검의 제조법을 고안한 장인은 프리마루체의 제조자와 동일인입니다.	Pedang ini memiliki pembuat yang sama dengan Primaluce Sword
ITEM_20150317_000178	Lapis Katzbalger	라피스 카츠발게르	Lapis Katzbalger
ITEM_20150317_000179	The enhancement of Katzbalger has been developed less than 100 years ago. Thus the crafting recipe for this weapon is unrelated to Ruklys.	카츠발게르를 강화하는 방법이 발견된 것은 100년도 안 됩니다. 고로 이 검의 제조법은 루클리스와는 무관합니다.	Katzbalger yang dibuat 100 tahun yang lalu. Sehingga tidak memiliki hubungan dengan Ruklys.
ITEM_20150317_000180	Smith Two-handed Sword	스미스 투 핸드 소드	Smith Two-Handeded Sword
ITEM_20150317_000181	Since Medzio Diena, fewer people have been concerned about the instability of magic weapons.	신수의 날 이후 마법무기의 안정성을 덜 고려하는 풍토가 늘었습니다. 	Semenjak Day of Descent. Makin kurang orang yang memperhatikan ketidak stabilan kekuatan magic.
ITEM_20150317_000182	Klavis Two-handed Sword	클라비스 투 핸드 소드	Klavis Two-Handed Sword
ITEM_20150317_000183	This sword can be a trustworthy extension of both your hands.	당신 양손의 듬직한 확장이 될 수 있습니다.	Pedang ini dapat dipercaya kekuatannya oleh kamu.
ITEM_20150317_000184	Thresh Two-handed Sword	트레시 투 핸드 소드	Thresh Two-Handed Sword
ITEM_20150317_000185	Sestas Two-handed Sword	세스타스 투 핸드 소드	Sestas Two-Handed Sword
ITEM_20150317_000186	Dratt Two-handed Sword	드라트 투 핸드 소드	Dratt Two-Handed Sword
ITEM_20150317_000187	Aston Two-handed Sword	아스턴 투 핸드 소드	Aston Two-Handed Sword
ITEM_20150317_000188	Devi Tow-Handed Sword	데비 투 핸드 소드	Devi Tow-Handed Sword
ITEM_20150317_000189	Prima Two-handed Sword	프리마 투 핸드 소드	Prima Two-Handed Sword
ITEM_20150317_000190	Flamini	플라미니	Flamini
ITEM_20150317_000191	A good sword that has long been regarded as a necessity when facing demons.	예전부터 마족을 상대하려는 용사들의 필수품으로 여겨지던 좋은 검입니다.	Pedang yang bagus untuk melawan bangsa Demon.
ITEM_20150317_000192	Wizard Slayer	위저드 슬레이어	Wizard Slayer
ITEM_20150317_000193	Novice Wizards often pay no mind to this particular weapon. However, a seasoned one knows to steer away from its unseen power.	마법사들은 이 검에 신경을 쓰지는 않습니다. 다만 전투 경험이 많은 마법사들은 확실한 주의를 기울입니다.	Wizard biasa sering mengabaikan pedang ini, namun Wizard yang tahu tentang senjata ini  tentunya tidak akan melakukannya.
ITEM_20150317_000194	Two-handed Sword [Strike]	양손검[타격]	Two-Handed Sword [Strike]
ITEM_20150317_000195	Like a flying dagger thrown in the darkest hours of the night, Naktis deals an unforeseen blow to its target.	심야의 어둠속에서 튀어 나온 한 자루 검처럼 나크티스는 의외의 타격을 가합니다. 	Bagaikan dagger yang melesat di kegelapan malam, Naktis memberikan serangan yang tidak terlihat.
ITEM_20150317_000196	Luciduce	루시두스	Luciduce 
ITEM_20150317_000197	Although some people dismiss this weapon as a 'tree cutting axe', its actual users will tell you that the Great Plant Cataclysm would have resulted in far worse losses without it.	나무 베는 도끼라고 비하하는 사람도 있지만, 사용자들은 이 검이 없었다면 식물재앙은 더 엄청난 피해를 가져왔을 것이라고 말합니다. 	Meskipun orang-orang menyebutnya sebagai 'kapak pemotong kpohon', senjata ini sangat berperan besar saat terjadi  Great Plant Cataclysm.
ITEM_20150317_000198	Hell and Heaven	헬 엔드 헤븐	Hell and Heaven
ITEM_20150317_000199	There's a saying that claims that 'offense is the best defense.' Prove it with this weapon.	공격이 최선의 방어라는 경구가 있습니다. 당신이 이 검으로 그 사실을 증명하십시오.	Ada pepatah mengatakan'pertahanan terbaik adalah serangan yang bagus'. Buktikan olehmu dengan senjata ini.
ITEM_20150317_000200	Deathweaver Tooth	데스위버 투스	Deathweaver Tooth
ITEM_20150317_000201	Chapparition Two-handed Sword	실제로 데스위버의 신체를 이용해 만들지는 않습니다.	Faktanya, Deathweaver tidak digunakan dalam proses pembuatan senjata ini.
ITEM_20150317_000202	Chapparition Two-handed Sword	채퍼리션 투 핸드 소드	Chapparition Two-Handed Sword
ITEM_20150317_000203	Great power can sometimes be found from the intangible. Sometimes the volumeless can overpower the heavy.	실체가 없는 기원에서 나온 것이 때로는 큰 힘을 제공하기도 합니다. 부피가 없는 것에서 나온 것이 때로 큰 것을 제압합니다.	Suatu saat, kekuatan besar dapat ditemukan pada hal-hal yang kecil. Suatu saat, beban yang berat dapat mudah dimanipulasi menjadi ringan.
ITEM_20150317_000204	Nulis	눌리스	Nulis
